symbol,brandLoyalty,barriersToEntry,switchingCost,networkEffect,economiesOfScale
BAX,7.5,8.0,7.5,3.0,8.0
BDX,8.0,8.5,8.5,3.0,8.5
BRK-B,9.5,9.5,5.0,5.0,10.0
BBY,7.0,5.0,3.0,2.0,7.5
TECH,7.5,8.0,8.0,3.0,7.0
BIIB,7.5,9.0,7.0,2.0,7.5
BLK,9.0,8.5,8.0,6.0,9.5
BX,9.0,8.5,8.0,7.0,9.0
XYZ,1.0,1.0,1.0,1.0,1.0
BK,8.0,9.0,9.0,6.0,8.5
BA,6.5,9.5,9.0,4.0,9.0
BKNG,8.0,7.0,5.0,9.0,8.5
BSX,7.5,8.5,8.0,3.0,8.0
BMY,7.5,9.0,7.0,2.0,8.5
AVGO,8.0,9.0,8.5,5.0,9.0
BR,8.0,9.5,9.5,8.5,8.5
BRO,7.0,6.0,7.5,4.0,7.0
BF-B,9.5,7.0,4.0,2.0,7.5
BLDR,6.0,6.5,5.0,3.0,8.0
BG,6.0,8.5,5.0,4.0,9.0
BXP,7.5,8.0,6.0,2.0,7.5
CHRW,7.0,5.0,5.0,8.0,8.0
CDNS,8.5,9.0,9.5,7.0,8.5
CPT,6.0,7.5,5.0,2.0,7.0
CPB,8.5,6.5,3.0,2.0,8.0
COF,7.5,7.5,6.5,6.0,8.5
CAH,6.5,8.5,7.0,5.0,9.0
CCL,7.5,8.5,3.0,2.0,8.0
CARR,8.0,7.0,6.5,2.0,8.0
CVNA,6.5,7.0,3.0,4.0,7.0
CAT,9.0,8.5,7.5,6.0,9.0
CBOE,8.0,9.0,8.0,9.0,8.5
CBRE,8.0,6.0,6.0,7.0,8.5
CDW,7.5,6.0,7.0,5.0,8.0
COR,6.5,8.5,7.5,5.0,9.0
CNC,6.5,8.0,6.5,5.0,8.5
CNP,5.0,9.5,9.0,2.0,8.5
CF,5.0,8.5,4.0,2.0,9.0
CRL,7.5,8.0,8.5,4.0,8.0
SCHW,8.5,8.0,8.0,6.0,9.5
CHTR,6.0,9.0,7.5,4.0,8.5
CVX,6.0,9.0,3.0,2.0,9.0
CMG,8.5,5.0,3.0,2.0,7.5
CB,7.5,7.0,6.0,3.0,8.0
CHD,8.5,6.0,4.0,2.0,7.5
CIEN,6.0,7.5,7.0,3.0,6.5
CI,7.0,8.0,7.5,6.0,8.5
CINF,6.5,6.0,5.5,2.0,6.0
CTAS,7.5,7.0,7.5,6.0,9.0
CSCO,8.0,7.5,8.5,7.0,8.5
C,6.5,8.5,7.0,6.5,8.0
CFG,5.5,7.0,6.0,4.0,6.5
CLX,8.5,6.0,4.0,2.0,7.5
CME,8.5,9.5,8.0,9.5,9.0
CMS,5.0,9.5,9.0,2.0,8.0
KO,10.0,8.5,4.0,3.0,9.5
CTSH,6.0,5.5,7.5,3.0,7.5
COIN,7.5,6.5,6.5,8.0,7.0
CL,9.0,6.5,4.0,2.0,8.5
CMCSA,6.5,9.0,7.5,4.0,8.5
FIX,5.5,4.5,5.5,2.0,5.5
CAG,7.0,6.0,3.5,2.0,7.5
COP,5.5,8.5,3.0,2.0,8.5
ED,5.0,9.5,9.5,2.0,8.5
STZ,8.5,7.0,4.0,2.0,8.0
CEG,5.5,9.0,8.0,2.0,8.5
COO,7.5,8.0,7.5,2.0,7.5
CPRT,7.5,8.5,7.0,9.5,8.5
GLW,7.5,8.5,7.0,2.0,8.0
CPAY,6.5,7.0,8.0,8.0,7.5
CTVA,7.5,8.5,7.5,2.0,8.0
CSGP,8.0,8.5,8.5,9.0,8.0
COST,9.5,8.0,8.0,5.0,10.0
CTRA,4.0,7.5,3.0,2.0,7.0
CRH,6.0,8.5,5.0,2.0,8.5
CRWD,8.0,7.5,8.5,9.0,8.0
CCI,6.0,9.0,8.5,4.0,8.5
CSX,6.5,10.0,8.5,6.0,9.5
CMI,8.5,8.0,7.0,4.0,8.5
CVS,8.0,8.0,7.5,6.0,9.0
DHR,8.5,8.5,8.5,3.0,8.5
DRI,7.5,5.0,3.0,2.0,7.5
DDOG,7.5,7.0,8.5,5.0,7.5
DVA,6.5,8.5,8.0,3.0,8.0
DECK,8.0,5.0,4.0,3.0,6.5
DE,9.5,8.5,8.0,5.0,9.0
DELL,7.5,6.5,6.5,3.0,8.5
DAL,7.5,8.0,6.5,7.0,7.5
DVN,4.5,7.5,3.0,2.0,7.5
DXCM,8.5,8.5,8.0,4.0,7.5
FANG,4.0,7.5,3.0,2.0,7.5
DLR,5.0,8.0,8.5,7.5,8.0
DG,6.0,5.0,3.0,2.0,8.5
DLTR,6.0,5.0,3.0,2.0,8.0
D,4.0,9.5,9.0,3.0,8.5
DPZ,8.0,4.0,3.0,4.0,8.5
DASH,7.0,4.0,4.0,8.5,7.0
DOV,6.5,6.0,7.0,2.0,7.0
DOW,5.0,8.0,6.0,2.0,8.5
DHI,6.0,5.0,2.0,2.0,8.5
DTE,4.0,9.5,9.0,3.0,8.5
DUK,4.0,9.5,9.0,3.0,9.0
DD,7.0,8.0,7.5,2.0,8.0
ETN,7.5,7.0,7.5,3.0,8.0
EBAY,7.0,5.0,5.0,8.0,7.5
ECL,8.0,7.0,8.5,3.0,8.5
EIX,4.0,9.5,9.0,3.0,8.5
EW,8.5,9.0,8.5,3.0,7.5
EA,8.5,7.0,6.0,7.5,7.5
ELV,7.5,8.0,7.0,8.5,9.0
EME,6.0,4.0,6.0,2.0,7.0
EMR,7.5,7.0,8.0,3.0,8.0
ETR,4.0,9.5,9.0,3.0,8.5
EOG,4.0,7.0,2.0,2.0,8.5
EPAM,6.5,4.0,7.5,3.0,7.0
EQT,4.0,7.0,2.0,2.0,8.5
EFX,7.5,9.0,8.5,8.5,9.0
EQIX,7.5,8.5,8.5,9.0,8.5
EQR,5.0,6.0,4.0,2.0,7.5
ERIE,6.5,6.0,6.5,3.0,7.0
ESS,5.0,6.0,4.0,2.0,7.0
EL,9.0,6.0,5.0,3.0,8.0
EG,6.0,7.0,5.0,3.0,7.5
EVRG,4.0,9.5,9.0,3.0,8.0
ES,4.0,9.5,9.0,3.0,8.5
EXC,4.0,9.5,9.0,3.0,9.0
EXE,5.0,6.0,6.0,2.0,6.0
EXPE,7.5,6.0,4.0,8.0,8.0
EXPD,7.0,5.0,7.0,7.5,7.5
EXR,6.0,6.0,6.0,2.0,8.0
XOM,7.0,9.0,3.0,3.0,9.5
FFIV,7.0,6.5,8.0,3.0,7.0
FDS,8.0,8.0,8.5,4.0,8.0
FICO,9.5,9.5,9.0,8.5,9.0
FAST,7.5,6.0,8.0,4.0,8.5
FRT,6.0,7.0,5.0,4.0,7.0
FDX,8.5,9.0,6.0,8.5,9.0
FIS,7.5,8.0,9.0,5.0,8.5
FITB,6.0,7.0,7.0,4.0,6.5
FSLR,7.0,8.0,4.0,2.0,8.5
FE,4.0,9.5,9.0,3.0,8.5
FISV,7.5,8.0,9.0,7.5,8.5
F,6.5,7.5,3.5,2.0,7.5
FTNT,7.5,7.5,8.0,6.5,7.5
FTV,7.0,7.5,7.5,3.5,7.0
FOXA,7.5,7.0,4.0,5.0,6.5
FOX,7.5,7.0,4.0,5.0,6.5
BEN,6.5,6.5,6.5,4.0,7.0
FCX,4.0,8.5,2.5,1.5,8.0
GRMN,8.0,7.0,6.0,5.5,7.0
IT,8.5,8.0,8.5,7.5,8.0
GE,9.0,9.5,9.0,5.0,9.0
GEHC,8.5,8.5,8.0,4.5,8.0
GEV,8.0,8.5,8.0,4.0,8.0
GEN,7.5,6.5,7.0,6.0,7.5
GNRC,8.5,7.5,5.5,4.0,7.5
GD,8.5,9.5,9.0,3.5,8.5
GIS,8.5,7.0,4.5,3.0,8.0
GM,6.5,7.5,3.5,2.0,7.5
GPC,7.5,6.5,5.5,6.0,8.0
GILD,7.5,8.5,7.0,2.5,7.5
GPN,7.0,7.5,8.0,7.0,8.0
GL,6.5,6.5,6.0,2.5,6.5
GDDY,8.0,6.5,7.5,5.5,7.5
GS,9.0,8.5,7.5,7.5,8.0
HAL,7.5,8.0,6.5,3.5,8.0
HIG,7.0,6.5,6.0,3.0,7.0
HAS,8.5,7.0,4.5,5.5,7.0
HCA,7.5,8.5,5.5,6.0,8.5
DOC,5.5,7.0,7.0,3.0,6.5
HSIC,7.5,7.0,7.5,6.0,8.0
HSY,9.5,7.5,4.5,3.0,8.5
HPE,7.0,6.5,7.0,4.5,7.5
HLT,9.0,7.5,7.5,8.0,8.5
HOLX,7.5,8.0,8.0,4.5,7.5
HD,9.0,8.0,5.5,5.0,9.5
HON,8.5,8.5,8.5,5.0,8.5
HRL,8.0,6.5,4.5,3.0,7.5
HST,6.5,7.5,4.0,4.0,7.0
HWM,7.5,8.5,8.0,3.5,8.0
HPQ,7.5,6.5,6.0,4.0,8.0
HUBB,7.5,7.0,7.0,3.5,7.5
HUM,7.5,8.0,7.0,7.5,8.5
HBAN,6.5,7.0,7.5,5.0,6.5
HII,8.0,9.5,9.0,2.5,8.5
IBM,8.0,7.5,8.5,5.5,8.0
IEX,7.0,7.5,8.0,3.5,7.0
IDXX,9.0,8.5,8.5,6.5,8.0
ITW,8.0,7.5,7.5,4.0,8.5
INCY,6.5,8.0,6.5,2.5,6.0
IR,8.0,7.5,7.5,4.0,8.0
PODD,7.5,8.0,8.5,5.0,7.0
INTC,7.0,9.5,7.5,6.0,8.5
IBKR,6.5,7.5,8.0,7.0,9.0
ICE,8.0,9.5,8.5,9.5,9.0
IFF,7.0,8.0,9.0,5.0,8.5
IP,5.0,7.5,5.0,3.0,8.5
INTU,8.5,8.0,9.5,8.5,8.5
ISRG,9.0,9.5,9.5,8.0,8.5
IVZ,6.5,6.0,6.5,5.0,7.5
INVH,5.0,7.0,6.0,4.0,8.0
IQV,7.5,8.5,9.0,8.5,8.5
IRM,7.5,8.0,9.5,6.0,8.5
JBHT,6.5,7.0,6.5,7.5,8.5
JBL,5.5,7.0,8.0,5.0,8.5
JKHY,7.0,8.0,9.5,7.0,8.0
J,7.0,7.5,8.0,5.0,7.5
JNJ,9.5,9.0,8.0,6.0,9.5
JCI,7.5,7.5,8.0,5.0,8.5
JPM,9.0,9.0,8.5,8.5,9.5
KVUE,9.0,7.0,6.0,4.0,9.0
KDP,8.5,7.5,5.5,5.0,8.5
KEY,6.0,7.0,7.5,5.0,7.5
KEYS,7.5,8.5,8.5,5.0,7.5
KMB,8.5,7.5,5.5,4.0,9.0
KIM,5.5,7.0,6.0,4.0,7.5
KMI,6.0,9.5,8.5,7.0,9.0
KKR,8.5,8.0,7.5,8.0,8.5
KLAC,8.0,9.5,9.0,6.0,8.5
KHC,8.5,7.0,5.0,4.0,8.5
KR,6.5,7.0,5.0,5.0,9.0
LHX,7.5,9.0,8.5,5.0,8.5
LH,7.0,8.0,7.5,7.0,8.5
LRCX,8.0,9.5,9.0,6.0,8.5
LW,7.0,8.0,7.5,4.0,8.5
LVS,8.0,9.5,6.0,5.0,8.5
LDOS,7.0,8.0,8.5,5.0,8.0
LEN,7.0,7.5,4.0,4.0,8.5
LII,8.0,7.5,7.0,5.0,8.0
LLY,9.5,9.5,8.0,5.0,9.0
LIN,7.5,9.5,9.5,6.0,9.0
LYV,8.0,9.0,8.0,9.5,8.5
LMT,8.5,9.8,9.5,6.0,9.5
L,6.0,7.0,6.0,4.0,7.5
LOW,8.5,8.0,5.5,5.0,9.0
LULU,9.0,6.5,5.0,6.0,7.5
LYB,6.0,8.5,6.5,4.0,9.0
MTB,6.5,7.5,8.0,5.0,7.5
MPC,6.0,9.5,6.0,5.0,9.5
MAR,9.0,7.5,7.0,9.0,8.5
MRSH,8.5,8.0,8.5,8.0,8.5
MLM,4.0,9.0,5.0,0.0,8.5
MAS,7.0,5.0,4.0,0.0,6.5
MA,9.0,9.5,8.0,9.8,9.5
MTCH,7.5,4.0,2.0,8.0,7.0
MKC,8.5,6.0,4.0,0.0,8.0
MCD,9.5,7.0,3.0,0.0,9.0
MCK,4.0,8.0,7.0,0.0,9.5
MDT,8.0,8.5,8.5,0.0,8.0
MRK,7.5,9.0,6.0,0.0,8.5
META,8.5,8.5,7.5,9.8,9.0
MET,6.0,6.0,5.0,0.0,7.0
MTD,8.0,7.5,8.0,0.0,7.0
MGM,7.5,8.0,3.0,0.0,7.0
MCHP,7.0,7.5,8.5,0.0,7.5
MU,4.0,9.0,4.0,0.0,9.0
MSFT,9.5,9.5,9.8,9.5,9.5
MAA,3.0,5.0,4.0,0.0,6.5
MRNA,7.0,8.5,4.0,0.0,7.0
MOH,5.0,7.5,6.0,0.0,7.5
TAP,7.0,6.0,3.0,0.0,7.5
MDLZ,9.0,6.5,3.0,0.0,8.5
MPWR,6.5,7.0,8.0,0.0,6.5
MNST,8.5,5.0,3.0,0.0,7.5
MCO,9.5,9.5,8.0,8.5,9.0
MS,8.5,8.0,7.0,5.0,8.0
MOS,3.0,7.5,3.0,0.0,7.5
MSI,8.0,8.5,9.0,6.0,8.0
MSCI,9.0,9.0,9.0,8.5,9.0
NDAQ,8.5,9.0,8.0,9.0,8.5
NTAP,6.5,6.0,7.5,0.0,7.0
NFLX,9.0,8.0,4.0,3.0,9.0
NEM,3.0,8.0,2.0,0.0,8.0
NWSA,7.5,5.0,4.0,3.0,6.5
NWS,7.5,5.0,4.0,3.0,6.5
NEE,5.0,9.0,8.0,0.0,9.0
NKE,9.5,6.0,3.0,0.0,8.5
NI,4.0,9.0,8.0,0.0,8.0
NDSN,7.5,7.0,8.5,0.0,7.0
NSC,5.0,9.8,8.0,7.0,9.0
NTRS,7.5,8.0,8.5,4.0,8.0
NOC,8.0,9.5,9.0,0.0,9.0
NCLH,6.5,8.0,3.0,0.0,7.5
NRG,4.0,7.0,4.0,0.0,7.0
NUE,5.0,7.5,4.0,0.0,8.5
NVDA,9.5,9.5,9.0,9.0,9.0
NVR,6.0,6.0,2.0,0.0,8.0
NXPI,7.5,8.0,8.5,0.0,8.0
ORLY,8.0,6.5,4.0,0.0,8.5
OXY,5.0,8.0,3.0,0.0,8.5
ODFL,8.0,7.5,5.0,6.0,9.0
OMC,7.5,6.0,6.5,5.0,7.5
ON,6.5,8.0,7.5,4.0,8.0
OKE,5.0,8.5,8.0,6.0,8.5
ORCL,8.5,8.0,9.5,6.5,8.5
OTIS,8.5,8.0,8.5,4.0,8.5
PCAR,8.0,8.0,6.5,4.0,8.0
PKG,5.5,7.0,6.0,3.0,8.0
PLTR,7.5,8.5,9.0,6.5,7.5
PANW,8.0,7.5,8.5,7.5,8.0
PSKY,6.0,6.0,6.0,5.0,6.0
PH,7.5,7.5,8.0,4.0,8.0
PAYX,8.0,7.0,8.5,4.5,8.5
PAYC,7.0,6.5,8.0,3.5,7.5
PYPL,8.0,6.5,6.5,8.5,8.5
PNR,7.0,6.5,6.0,3.0,7.5
PEP,9.5,8.0,4.5,4.0,9.5
PFE,8.0,9.0,6.0,3.0,9.0
PCG,3.0,9.5,9.0,5.0,9.0
PM,9.5,9.0,8.0,3.0,9.0
PSX,6.0,8.5,4.0,3.0,8.5
PNW,4.0,9.0,9.0,4.0,8.5
PNC,7.0,7.5,7.5,5.0,7.5
POOL,7.5,7.0,6.5,5.0,8.5
PPG,8.0,7.5,7.0,3.0,8.5
PPL,4.0,9.0,9.0,4.0,8.5
PFG,6.5,7.0,7.0,4.0,7.5
PG,9.5,8.0,5.0,3.0,9.5
PGR,8.5,7.0,6.0,6.0,9.0
PLD,7.5,8.5,7.5,6.0,9.0
PRU,8.0,7.5,7.0,4.0,8.0
PEG,4.0,9.0,9.0,4.0,8.5
PTC,7.5,7.5,8.5,5.0,7.5
PSA,8.0,7.0,7.5,3.0,8.5
PHM,7.0,6.5,3.0,2.0,8.0
PWR,7.5,7.0,7.0,4.0,8.0
QCOM,8.5,9.5,8.0,7.0,9.0
DGX,7.5,8.0,7.0,6.0,8.5
Q,6.0,6.0,6.0,5.0,6.0
RL,8.5,6.0,4.0,3.0,7.0
RJF,7.0,7.0,7.5,5.0,7.5
RTX,9.0,9.5,9.0,5.0,9.0
O,8.0,7.5,8.0,4.0,8.5
REG,6.5,7.0,7.5,4.0,7.5
REGN,8.0,9.0,7.0,3.0,8.0
RF,6.5,7.0,7.5,5.0,7.0
RSG,7.0,9.0,8.0,6.0,8.5
RMD,8.5,8.0,7.5,6.0,8.0
RVTY,7.5,8.0,8.0,4.0,7.5
HOOD,7.0,5.5,6.0,6.0,7.0
ROK,8.5,8.0,9.0,5.0,8.0
ROL,8.0,6.0,7.0,2.0,8.5
ROP,7.0,8.0,9.0,4.0,7.0
ROST,7.0,6.0,3.0,2.0,8.5
RCL,7.0,9.0,4.0,2.0,8.0
SPGI,9.5,9.5,8.5,8.0,9.5
CRM,8.5,7.5,9.0,8.0,8.5
SNDK,7.0,8.0,4.0,2.0,8.0
SBAC,4.0,9.0,9.0,3.0,8.5
SLB,8.0,8.5,6.0,3.0,8.5
STX,7.0,8.5,4.0,2.0,8.5
SRE,5.0,9.5,9.0,2.0,9.0
NOW,8.0,7.0,9.5,6.0,8.0
SHW,9.0,7.0,6.0,3.0,8.5
SPG,7.0,8.5,6.0,7.0,8.0
SWKS,6.0,7.5,7.0,2.0,8.0
SJM,8.5,6.0,4.0,2.0,7.5
SW,5.0,7.0,5.0,2.0,8.5
SNA,9.0,6.0,7.0,3.0,7.0
SOLV,7.0,7.5,7.0,2.0,7.5
SO,5.0,9.5,9.0,2.0,9.0
LUV,8.0,7.0,4.0,6.0,7.5
SWK,8.5,6.0,4.0,2.0,8.0
SBUX,9.5,5.0,5.0,6.0,8.5
STT,7.5,8.5,8.5,4.0,9.0
STLD,4.0,8.0,4.0,2.0,8.5
STE,8.0,8.0,8.0,2.0,7.5
SYK,8.5,8.5,8.5,3.0,8.0
SMCI,5.0,5.0,4.0,2.0,6.0
SYF,6.0,7.0,7.0,5.0,8.0
SNPS,8.5,9.0,9.0,6.0,8.5
SYY,7.0,6.0,5.0,4.0,9.0
TMUS,7.5,9.0,6.0,7.0,8.5
TROW,8.0,6.0,6.0,3.0,8.0
TTWO,9.0,7.0,4.0,7.0,7.5
TPR,7.5,5.0,3.0,2.0,6.5
TRGP,4.0,8.5,8.0,5.0,8.0
TGT,8.0,6.0,4.0,3.0,8.5
TEL,7.0,7.5,8.0,2.0,8.5
TDY,7.5,8.5,8.0,2.0,7.5
TER,8.0,8.5,8.0,3.0,8.0
TSLA,9.0,8.5,6.0,7.0,8.5
TXN,8.0,8.5,8.5,3.0,9.5
TPL,5.0,9.5,9.0,2.0,9.5
TXT,7.5,8.0,7.0,2.0,7.5
TMO,9.0,8.0,8.5,4.0,9.0
TJX,8.0,6.0,3.0,3.0,9.0
TKO,9.0,8.5,5.0,7.0,8.0
TTD,8.0,7.0,7.5,8.0,8.0
TSCO,8.5,6.0,5.0,3.0,8.5
TT,8.5,7.0,7.0,2.0,8.0
TDG,9.0,9.0,9.5,2.0,8.0
TRV,7.0,6.0,5.0,2.0,8.0
TRMB,7.0,7.0,8.0,4.0,7.0
TFC,6.0,7.0,7.0,4.0,7.0
TYL,7.0,8.0,9.5,5.0,7.5
TSN,6.0,6.0,3.0,1.0,8.5
USB,7.0,7.0,7.5,4.0,8.0
UBER,8.0,6.0,4.0,9.5,8.5
UDR,4.0,6.0,4.0,1.0,6.0
ULTA,8.0,5.0,5.0,3.0,7.5
UNP,7.0,10.0,8.0,6.0,9.5
UAL,6.0,8.0,4.0,5.0,7.0
UPS,8.5,9.0,6.0,8.0,9.5
URI,7.0,6.0,5.0,3.0,8.5
UNH,8.0,8.5,8.0,8.0,9.5
UHS,5.0,7.0,5.0,2.0,6.5
VLO,4.0,8.5,3.0,1.0,9.0
VTR,5.0,6.0,6.0,2.0,7.0
VLTO,7.0,7.0,8.0,2.0,7.0
VRSN,8.0,10.0,9.0,7.0,9.5
VRSK,8.0,8.5,9.0,8.5,8.5
VZ,8.0,9.0,7.0,6.0,9.0
VRTX,9.0,9.5,8.0,1.0,7.0
VTRS,5.0,6.0,4.0,1.0,7.5
VICI,6.0,8.0,9.0,2.0,7.5
V,9.5,9.5,8.5,10.0,10.0
VST,4.0,7.5,4.0,1.0,8.0
VMC,5.0,9.0,6.0,1.0,8.5
WRB,6.0,6.0,5.0,1.0,7.0
GWW,8.0,6.0,7.0,5.0,9.0
WAB,7.5,8.5,8.0,3.0,8.0
WMT,9.0,8.0,4.0,5.0,10.0
DIS,9.5,8.5,5.0,4.0,8.5
WBD,8.0,7.0,4.0,3.0,7.5
WM,7.5,9.5,7.0,4.0,9.5
WAT,8.0,8.0,8.5,2.0,7.5
WEC,5.0,9.0,8.0,1.0,8.0
WFC,7.5,8.0,7.5,5.0,8.5
WELL,6.0,7.0,6.0,2.0,8.0
WST,8.0,8.5,9.0,2.0,8.0
WDC,6.0,7.0,4.0,1.0,8.0
WY,5.0,8.5,4.0,1.0,8.5
WSM,8.0,4.0,3.0,1.0,6.0
WMB,6.0,9.5,8.0,4.0,9.0
WTW,7.5,6.0,8.0,3.0,7.5
WDAY,8.0,7.5,9.5,4.0,8.0
WYNN,8.5,8.5,4.0,2.0,7.0
XEL,5.0,9.0,8.0,1.0,8.0
XYL,7.5,7.5,7.0,2.0,7.5
YUM,9.0,6.0,4.0,5.0,9.0
ZBRA,7.0,7.5,8.5,3.5,7.0
ZBH,8.5,9.0,9.0,2.0,8.0
ZTS,9.0,9.0,8.0,2.5,9.0
